,0
1888,UMA MUSUME
1889,UMA MUSUME PRETTY DERBY
1890,UMA MUSUME ROAD TO THE TOP
1891,UMAMUSUME
1892,UMARU-CHAN
1893,UMIBE NO ETRANGER
1894,UMINEKO
1895,UNDEAD UNLUCK
1896,UNDERTALE
1897,UNDERTALE & DELTARUNE
1898,UNDERTALE/DELTARUNE
1899,UNDERTALE/DELTARUNE/ TOBY FOX GAME RPG
1900,UNNAMED (VTUBER)
1901,UPIN & IPIN
1902,URASHIMASAKATASEN
1903,UT/DR
1904,UTAITE
1905,UTAPRI
1906,UTAU
1907,UTDR
1908,V TUBER
1909,V-TUBER
1910,V-TUBER (HOLOLIVE & NIJISANJI)
1911,V-TUBERS
1912,V.W.P (VIRTUAL WITCH PHENOMENONE)
1913,VA-11 HALL-A
1914,VALO
1915,VALORANT
1916,VALORANT & DOTA 2
1917,VALORANT AND ORIGINAL ARTWORKS
1918,VALORANT)
1919,"VALORANT, GENSHIN, ADVENTURE TIME, V-TUBER, GUNDAM WITCH MERCURY"
1920,"VALORANT, LEAGUE OF LEGENDS"
1921,"VALORANT, OVERWATCH"
1922,VANITAS
1923,VANITAS NO CARTE
1924,VARIOUS
1925,VARIOUS ANIME
1926,VARIOUS ANIME (OLD AND NEW)
1927,VARIOUS ANIMES
1928,VARIOUS FANDOM
1929,VARIOUS GAMES
1930,VERSUS AMBIVALENZ
1931,VIDEO GAME
1932,VIDEO GAMES
1933,VINLAND SAGA
1934,VIOLET EVERGARDEN
1935,VIRTUAL YOUTUBER
1936,VIRTUAL YOUTUBER (VTUBER)
1937,VIRTUAL YOUTUBER / VTUBER
1938,VIRTUAL YOUTUBER GROUP ENIGMYST PROJECT
1939,VIRTUAL YOUTUBER INDONESIA
1940,VISUAL KEI
1941,VISUAL NOVEL
1942,VITUBER
1943,VIVIZ
1944,VKEI
1945,VN UMINEKO
1946,VNC
1947,VOCALOID
1948,VOCALOID [EVILLIOUS SERIES]
1949,VOCALOID/HATSUNE MIKU
1950,VOCALOID/PJSK
1951,VOCALOID/PROJECT SEKAI
1952,VOCALOID/VOCAL SYNTH
1953,VSHOJO
1954,VSHOUJO
1955,VSPO
1956,VSPO!
1957,VTUBER
1958,VTUBER (AISATSET ID)
1959,VTUBER (HOLOLIVE ID)
1960,VTUBER (HOLOLIVE)
1961,"VTUBER (HOLOLIVE, NIJISANJI)"
1962,VTUBER (INDIE
1963,VTUBER (INDIE)
1964,VTUBER (NIJI+HOLO)
1965,VTUBER (NIJISANJI & HOLOLIVE)
1966,VTUBER (NIJISANJI EN)
1967,VTUBER (NIJISANJI)
1968,"VTUBER (NIJISANJI, VSHOJO)"
1969,VTUBER (PHASE CONNECT
1970,VTUBER (PLAVE)
1971,VTUBER (VSHOUJO
1972,VTUBER AGENCY
1973,VTUBER DAN PERSONAL CHARACTER
1974,VTUBER EN
1975,VTUBER GROUP
1976,VTUBER HOLOLIVE
1977,VTUBER INDIE
1978,VTUBER INDONESIA
1979,VTUBER NIJISANJI EN
1980,VTUBER RELATED CONTENT
1981,VTUBER(HOLOLIVE
1982,VTUBER(HOLOLIVE &NIJISANJI)
1983,VTUBER(NIJISANJI/HOLOLIVE)
1984,"VTUBER, GENSHIN, HSR"
1985,"VTUBER, HOLOLIVE, GENSHIN IMPACT, HONKAI STAR RAIL"
1986,"VTUBER, POKEMON, BLUE ARCHIVE"
1987,"VTUBER, VALORANT"
1988,VTUBERS
1989,VTUBERS (MORE STUFFS TBA)
1990,VTUBERS (NIJISANJI
1991,VTUBERS: HOLOSTAR
1992,VWP
1993,WARFRAME
1994,WARHAMMER
1995,WARHAMMER 40000
1996,WARHAMMER 40K
1997,WATANARE
1998,WAVE TO EARTH
1999,WE BARE BEARS
2000,WEAK HERO
2001,WEBTOON
2002,WEDNESDAY (NETFLIX 2022)
2003,WES ANDERSON FILMS
2004,WESTERN
2005,WESTERN CARTOONS
2006,WESTERN MOVIES/SERIES/ANIMATION
2007,WHA
2008,WINDAH BASUDARA
2009,WINNER
2010,WINTER AND COFFEE ORIGINAL WORKS
2011,WITCH HAT ATELIER
2012,WITCH HOUSE
2013,WIZARDING WORLD
2014,WONG KAR WAI FILMS)
2015,WOODZ
2016,WOTAKOI
2017,WUTHERING WAVES
2018,X-MEN
2019,XDINARY HEROES
2020,XG
2021,XG)
2022,YAGATE KIMI NI NARU
2023,YAKUZA
2024,YAKUZA SERIES
2025,YAMA NO SUSUME
2026,YAMADA 999
2027,YOASOBI
2028,YONA OF THE DAWN
2029,YORUSHIKA
2030,YOSTAR-VERSE (ARKNIGHTS
2031,YOTSUBA
2032,YOTSUBA&
2033,YOUR LIE IN APRIL
2034,YOUR TURN TO DIE
2035,YOUTUBE
2036,YOUTUBER
2037,YOUTUBERS
2038,YOWAMUSHI PEDAL
2039,YU YU HAKUSHO
2040,YU-GI-OH
2041,YU-GI-OH!
2042,YUBISAKI TO RENREN
2043,YUGI OH
2044,YUGI-OH
2045,YUGIOH
2046,YUGIOH DUEL MONSTERS
2047,"YUGIOH,TOKUSATSU,HOYOVERSE,VTUBER"
2048,YUMIE TSUCHINOKO (VTUBER)
2049,YURI
2050,YURI / GL
2051,YURI ON ICE
2052,YURI ORIGINAL
2053,YURI!! ON ICE
2054,YURI/GIRLS LOVE
2055,YURI/GL
2056,"YURI/GL, WEBTOON"
2057,YURU CAMP
2058,YURUCAMP
2059,YUTA
2060,ZB1
2061,ZEKTBACH
2062,ZELDA
2063,ZELDA BREATH OF THE WILD
2064,ZELDA TOTK
2065,ZELDA: TOKT
2066,ZENLESS ZEN ZERO
2067,ZENLESS ZONE ZERO
2068,ZENLESS ZONE ZERO ORIGINAL
2069,ZENO
2070,ZEROBASEONE
2071,ZETA
2072,ZOM 100
2073,ZOM100
2074,ZOMBIELAND SAGA
2075,ZUTOMAYO
2076,ZZZ
